Node	ux/m	uy/m
1	0.0000	-0.0000
2	0.3168	-1.1307
3	0.6337	-1.7861
4	0.8838	-1.5494
5	1.1339	-0.0000
6	0.5423	-1.3123
7	0.9091	-1.7861
8	1.2760	-1.1307
Node	Direction	Counterforce/N
1	x	-60000.0000
1	y	15000.0000
5	y	75000.0000
Element	Strain	Stress/Pa
1	0.0000	0.0000
2	-0.1056	-226805610.2059
3	-0.1056	-226795793.9060
4	-0.6715	-1442021878.5321
5	-0.1419	-304625388.1723
6	-0.1047	-224809302.0073
7	0.0079	16869481.6029
8	0.6675	1433399513.3363
9	0.0000	0.0000
10	-0.0592	-127073802.4299
11	-0.2257	-484784071.9283
12	0.7761	1666722292.3234
13	0.0084	18128597.3099
